Step,GAN_A-202102240258 - accuracy
1067,0.40625
1068,0.40625
1069,0.28125
1070,0.4375
1071,0.25
1072,0.25
1073,0.28125
1074,0.59375
1075,0.25
1076,0.3125
1077,0.3125
1078,0.375
1079,0.3125
1080,0.34375
1081,0.40625
1082,0.59375
1083,0.40625
1084,0.375
1085,0.375
1086,0.40625
1087,0.375
1088,0.40625
1089,0.25
1090,0.3125
1091,0.375
1092,0.25
1093,0.4375
1094,0.4375
1095,0.28125
1096,0.375
1097,0.28125
1098,0.34375
1099,0.34375
1100,0.46875
1101,0.3125
1102,0.375
1103,0.21875
1104,0.3125
1105,0.34375
1106,0.375
1107,0.34375
1108,0.25
1109,0.28125
1110,0.4375
1111,0.375
1112,0.15625
1113,0.28125
1114,0.34375
1115,0.40625
1116,0.28125
1117,0.40625
1118,0.3125
1119,0.4375
1120,0.3125
1121,0.28125
1122,0.34375
1123,0.40625
1124,0.5
1125,0.375
1126,0.28125
1127,0.3125
1128,0.40625
1129,0.375
1130,0.3125
1131,0.34375
1132,0.21875
1133,0.34375
1134,0.34375
1135,0.3125
1136,0.40625
1137,0.46875
1138,0.375
1139,0.25
1140,0.375
1141,0.40625
1142,0.46875
1143,0.28125
1144,0.34375
1145,0.34375
1146,0.21875
1147,0.375
1148,0.375
1149,0.46875
1150,0.3125
1151,0.34375
1152,0.3125
1153,0.34375
1154,0.28125
1155,0.4375
1156,0.125
1157,0.28125
1158,0.40625
1159,0.28125
1160,0.5
1161,0.34375
1162,0.3125
1163,0.34375
1164,0.21875
1165,0.21875
1166,0.28125
1167,0.46875
1168,0.3125
1169,0.375
1170,0.5
1171,0.375
1172,0.3125
1173,0.3125
1174,0.28125
1175,0.34375
1176,0.375
1177,0.21875
1178,0.28125
1179,0.5
1180,0.25
1181,0.375
1182,0.4375
1183,0.34375
1184,0.28125
1185,0.53125
1186,0.1875
1187,0.375
1188,0.375
1189,0.15625
1190,0.34375
1191,0.4375
1192,0.3125
1193,0.28125
1194,0.3125
1195,0.375
1196,0.375
1197,0.375
1198,0.28125
1199,0.4375
1200,0.40625
1201,0.53125
1202,0.53125
1203,0.40625
1204,0.40625
1205,0.34375
1206,0.25
1207,0.5
1208,0.375
1209,0.3125
1210,0.40625
1211,0.3125
1212,0.21875
1213,0.34375
1214,0.375
1215,0.28125
1216,0.28125
1217,0.4375
1218,0.375
1219,0.40625
1220,0.21875
1221,0.375
1222,0.375
1223,0.375
1224,0.28125
1225,0.46875
1226,0.5
1227,0.375
1228,0.25
1229,0.25
1230,0.25
1231,0.1875
1232,0.3125
1233,0.25
1234,0.40625
1235,0.25
1236,0.34375
1237,0.375
1238,0.25
1239,0.40625
1240,0.21875
1241,0.625
1242,0.375
1243,0.375
1244,0.25
1245,0.21875
1246,0.28125
1247,0.375
1248,0.34375
1249,0.25
1250,0.34375
1251,0.34375
1252,0.34375
1253,0.1875
1254,0.40625
1255,0.34375
1256,0.375
1257,0.5
1258,0.375
1259,0.28125
1260,0.4375
1261,0.34375
1262,0.25
1263,0.40625
1264,0.40625
1265,0.25
1266,0.3125
1267,0.28125
1268,0.34375
1269,0.375
1270,0.3125
1271,0.375
1272,0.5625
1273,0.28125
1274,0.3125
1275,0.1875
1276,0.34375
1277,0.21875
1278,0.4375
1279,0.3125
1280,0.40625
1281,0.375
1282,0.28125
1283,0.15625
1284,0.3125
1285,0.46875
1286,0.34375
1287,0.25
1288,0.4375
1289,0.375
1290,0.125
1291,0.28125
1292,0.28125
1293,0.34375
1294,0.40625
1295,0.375
1296,0.53125
1297,0.46875
1298,0.5625
1299,0.40625
1300,0.28125
1301,0.25
1302,0.34375
1303,0.40625
1304,0.21875
1305,0.5
1306,0.34375
1307,0.34375
1308,0.375
1309,0.28125
1310,0.53125
1311,0.375
1312,0.25
1313,0.375
1314,0.375
1315,0.3125
1316,0.34375
1317,0.3125
1318,0.28125
1319,0.375
1320,0.3125
1321,0.28125
1322,0.34375
1323,0.5
1324,0.25
1325,0.28125
1326,0.46875
1327,0.375
1328,0.34375
1329,0.40625
1330,0.5
1331,0.1875
1332,0.375
1333,0.34375
1334,0.28125
1335,0.4375
1336,0.28125
1337,0.375
1338,0.375
1339,0.34375
1340,0.4375
1341,0.40625
1342,0.34375
1343,0.375
1344,0.25
1345,0.3125
1346,0.21875
1347,0.28125
1348,0.15625
1349,0.34375
1350,0.1875
1351,0.53125
1352,0.375
1353,0.4375
1354,0.53125
1355,0.4375
1356,0.375
1357,0.40625
1358,0.3125
1359,0.375
1360,0.34375
1361,0.40625
1362,0.28125
1363,0.3125
1364,0.25
1365,0.25
1366,0.3125
1367,0.21875
1368,0.3125
1369,0.4375
1370,0.3125
1371,0.40625
1372,0.375
1373,0.3125
1374,0.34375
1375,0.46875
1376,0.4375
1377,0.28125
1378,0.28125
1379,0.21875
1380,0.125
1381,0.46875
1382,0.3125
1383,0.40625
1384,0.3125
1385,0.28125
1386,0.21875
1387,0.375
1388,0.40625
1389,0.34375
1390,0.3125
1391,0.375
1392,0.40625
1393,0.25
1394,0.375
1395,0.25
1396,0.40625
1397,0.4375
1398,0.28125
1399,0.28125
1400,0.34375
1401,0.28125
1402,0.46875
1403,0.28125
1404,0.34375
1405,0.46875
1406,0.3125
1407,0.25
1408,0.28125
1409,0.46875
1410,0.34375
1411,0.3125
1412,0.40625
1413,0.40625
1414,0.34375
1415,0.200000003
1416,0.3125
1417,0.4375
1418,0.34375
1419,0.40625
1420,0.3125
1421,0.40625
1422,0.4375
1423,0.375
1424,0.46875
1425,0.34375
1426,0.4375
1427,0.4375
1428,0.375
1429,0.28125
1430,0.40625
1431,0.40625
1432,0.21875
1433,0.4375
1434,0.3125
1435,0.3125
1436,0.4375
1437,0.5
1438,0.4375
1439,0.375
1440,0.3125
1441,0.59375
1442,0.34375
1443,0.3125
1444,0.46875
1445,0.21875
1446,0.40625
1447,0.28125
1448,0.4375
1449,0.34375
1450,0.34375
1451,0.375
1452,0.46875
1453,0.25
1454,0.375
1455,0.3125
1456,0.46875
1457,0.4375
1458,0.3125
1459,0.3125
1460,0.34375
1461,0.25
1462,0.3125
1463,0.46875
1464,0.4375
1465,0.21875
1466,0.34375
1467,0.40625
1468,0.28125
1469,0.28125
1470,0.375
1471,0.46875
1472,0.25
1473,0.375
1474,0.34375
1475,0.3125
